test_name,category,normal_range,unit,low_meaning,high_meaning,common_causes,recommended_action
Hemoglobin (Male),Complete Blood Count,13.5-17.5,g/dL,Anemia possible causing fatigue and weakness,Possible dehydration or polycythemia,Iron deficiency blood loss or bone marrow issues if low,See a doctor for iron studies if low or hydration review if high
Hemoglobin (Female),Complete Blood Count,12.0-15.5,g/dL,Anemia possible causing tiredness and pale skin,Possible dehydration or lung condition,Iron deficiency menstruation or pregnancy commonly cause low levels,Iron rich diet and doctor consultation recommended if low
Platelet Count,Complete Blood Count,150000-450000,per microliter,Increased bleeding and bruising risk,Increased clotting risk,Dengue viral infections or bone marrow issues lower platelets,Urgent doctor visit if very low especially during dengue season
White Blood Cells (WBC),Complete Blood Count,4000-11000,per microliter,Weakened immunity and infection risk,Active infection or inflammation present,High counts often indicate the body is fighting an infection,Doctor evaluation to find infection source if elevated
Red Blood Cells (Male),Complete Blood Count,4.7-6.1,million per microliter,Anemia or blood loss possible,Dehydration or low oxygen conditions,Various nutritional and bone marrow factors affect levels,Follow up with complete blood count interpretation by doctor
Red Blood Cells (Female),Complete Blood Count,4.2-5.4,million per microliter,Anemia or blood loss possible,Dehydration or smoking effects,Iron and vitamin deficiencies commonly cause low counts,Doctor review of full blood picture recommended
MCV (Mean Corpuscular Volume),Complete Blood Count,80-100,femtoliters,Small red cells suggesting iron deficiency anemia,Large red cells suggesting B12 or folate deficiency,Iron B12 and folate levels affect red cell size,Vitamin and iron testing helps identify the cause
Hematocrit (Male),Complete Blood Count,38.8-50.0,percent,Anemia or overhydration possible,Dehydration or polycythemia possible,Reflects proportion of blood made of red cells,Interpret alongside hemoglobin with doctor guidance
Hematocrit (Female),Complete Blood Count,34.9-44.5,percent,Anemia or overhydration possible,Dehydration possible,Reflects proportion of blood made of red cells,Interpret alongside hemoglobin with doctor guidance
Fasting Blood Sugar,Diabetes,70-100,mg/dL,Hypoglycemia causing dizziness and confusion,Prediabetes at 100-125 and diabetes above 126,Diet stress and insulin resistance affect fasting glucose,Confirm with HbA1c and consult doctor if repeatedly high
Random Blood Sugar,Diabetes,Less than 140,mg/dL,Low sugar may cause weakness,Above 200 strongly suggests diabetes,Recent meals affect this test so timing matters,Fasting sugar and HbA1c give clearer picture
HbA1c,Diabetes,4.0-5.6,percent,Rarely low,5.7-6.4 is prediabetes and 6.5 or above is diabetes,Shows average blood sugar over past three months,Lifestyle changes and doctor management if elevated
Total Cholesterol,Lipid Profile,Less than 200,mg/dL,Rarely a concern when low,Above 240 is high raising heart disease risk,Diet genetics and physical activity influence levels,Reduce fried foods and consult doctor if high
LDL Cholesterol,Lipid Profile,Less than 100,mg/dL,Not typically concerning,Above 160 is high and increases heart risk,Known as bad cholesterol that clogs arteries,Dietary changes and possible medication if elevated
HDL Cholesterol,Lipid Profile,40-60,mg/dL,Below 40 increases heart disease risk,Higher is protective for the heart,Known as good cholesterol that protects arteries,Exercise and healthy fats help raise low HDL
Triglycerides,Lipid Profile,Less than 150,mg/dL,Rarely a concern,Above 200 is high raising heart and pancreas risk,Sugar alcohol and refined carbs raise triglycerides,Limit sugar and alcohol and see doctor if high
TSH (Thyroid),Thyroid,0.4-4.0,mIU/L,Low suggests overactive thyroid (hyperthyroidism),High suggests underactive thyroid (hypothyroidism),Thyroid gland dysfunction affects metabolism,Endocrinologist referral for abnormal thyroid results
Free T4,Thyroid,0.8-1.8,ng/dL,Low indicates underactive thyroid,High indicates overactive thyroid,Works with TSH to assess thyroid function,Interpret together with TSH by a doctor
Free T3,Thyroid,2.3-4.2,pg/mL,Low may indicate hypothyroidism,High may indicate hyperthyroidism,Active thyroid hormone affecting metabolism,Full thyroid panel review with physician
Creatinine (Male),Kidney Function,0.7-1.3,mg/dL,Rarely concerning when low,High indicates reduced kidney function,Kidney disease dehydration and muscle mass affect levels,Nephrologist consultation if consistently elevated
Creatinine (Female),Kidney Function,0.6-1.1,mg/dL,Rarely concerning when low,High indicates reduced kidney function,Kidney disease and dehydration raise creatinine,Kidney function evaluation recommended if high
Blood Urea Nitrogen (BUN),Kidney Function,7-20,mg/dL,Low may indicate liver issues or overhydration,High indicates kidney dysfunction or dehydration,Kidney function and protein intake affect BUN,Assess with creatinine for kidney health picture
Uric Acid (Male),Kidney Function,3.4-7.0,mg/dL,Rarely concerning,High causes gout and kidney stones,Red meat organ meat and alcohol raise uric acid,Limit purine rich foods and see doctor for gout
Uric Acid (Female),Kidney Function,2.4-6.0,mg/dL,Rarely concerning,High causes gout and joint pain,Diet and kidney function affect uric acid levels,Dietary changes and medical review if high
ALT (Liver Enzyme),Liver Function,7-56,U/L,Not typically concerning,High indicates liver inflammation or damage,Fatty liver hepatitis and medications raise ALT,Liver ultrasound and doctor consultation if elevated
AST (Liver Enzyme),Liver Function,10-40,U/L,Not typically concerning,High indicates liver or muscle damage,Liver disease and alcohol commonly raise AST,Further liver testing recommended if high
Total Bilirubin,Liver Function,0.1-1.2,mg/dL,Rarely concerning,High causes jaundice and yellow skin or eyes,Liver disease and bile duct problems raise bilirubin,Prompt doctor visit if jaundice appears
Alkaline Phosphatase (ALP),Liver Function,44-147,U/L,May indicate malnutrition,High indicates liver or bone conditions,Liver bile duct and bone disorders affect ALP,Doctor interpretation with other liver tests
Albumin,Liver Function,3.5-5.0,g/dL,Low indicates liver or kidney disease or malnutrition,High usually from dehydration,Reflects liver protein production and nutrition,Nutritional and liver assessment if low
Vitamin D,Vitamins,30-100,ng/mL,Deficiency causes bone pain and weakness very common in Pakistan,Rarely too high from over supplementation,Limited sun exposure and diet cause widespread deficiency,Sunlight exposure and supplements as advised by doctor
Vitamin B12,Vitamins,200-900,pg/mL,Deficiency causes fatigue numbness and anemia,Rarely concerning,Vegetarian diets and absorption issues cause low B12,B12 rich foods or supplements as recommended
Iron (Serum),Vitamins,60-170,mcg/dL,Low causes iron deficiency anemia,High may indicate iron overload,Blood loss and poor diet lower iron levels,Iron studies and dietary guidance from doctor
Ferritin (Male),Vitamins,24-336,ng/mL,Low confirms depleted iron stores,High indicates inflammation or iron overload,Reflects the body iron storage levels,Iron supplementation if low under medical advice
Ferritin (Female),Vitamins,11-307,ng/mL,Low confirms iron deficiency,High indicates inflammation or overload,Menstruation and pregnancy deplete iron stores,Iron rich diet and doctor follow up if low
Calcium,Minerals,8.5-10.5,mg/dL,Low causes muscle cramps and numbness,High affects kidneys and heart rhythm,Vitamin D parathyroid and diet affect calcium,Doctor evaluation for abnormal calcium levels
Sodium,Electrolytes,135-145,mEq/L,Low causes confusion and weakness,High causes thirst and confusion,Hydration and kidney function affect sodium,Urgent care if severely abnormal with symptoms
Potassium,Electrolytes,3.5-5.0,mEq/L,Low causes muscle weakness and irregular heartbeat,High is dangerous for heart rhythm,Kidney function and medications affect potassium,Immediate doctor attention for abnormal potassium
CRP (C-Reactive Protein),Inflammation,Less than 3,mg/L,Not concerning,High indicates inflammation or infection in the body,Infections and chronic inflammation raise CRP,Doctor investigation to find inflammation source
ESR (Sedimentation Rate),Inflammation,Male under 15 Female under 20,mm/hr,Not concerning,High indicates inflammation or infection,Nonspecific marker raised in many inflammatory conditions,Interpret with symptoms and other tests by doctor
Total IgE,Allergy,Less than 100,KU/L,Not concerning,High suggests allergic tendency or parasitic infection,Allergies and asthma commonly raise IgE,Allergy testing if symptoms are present
Fasting Insulin,Diabetes,2.6-24.9,mU/L,Low may occur in type 1 diabetes,High suggests insulin resistance,Obesity and PCOS commonly cause high insulin,Lifestyle changes and doctor review for insulin resistance
HbA1c Prediabetes Range,Diabetes,5.7-6.4,percent,Not applicable,Indicates prediabetes needing lifestyle intervention,Rising blood sugar trend over three months,Diet exercise and monitoring to prevent diabetes
