food_name,category,calories_per_serving,serving_size,carb_level,glycemic_index,sodium_level,fat_level,protein_level,suitable_for,avoid_for,notes
Masoor Daal,Lentils,116,1 cup cooked,Medium,29,Low,Low,High,diabetes;weight_loss;cholesterol,none,Good plant protein source with fiber that slows sugar absorption
Moong Daal,Lentils,105,1 cup cooked,Medium,25,Low,Low,High,diabetes;weight_loss;kidney_mild,none,Easiest daal to digest often given during illness recovery
Chana Daal,Lentils,134,1 cup cooked,Medium,28,Low,Low,High,diabetes;cholesterol,gout,High fiber helps control blood sugar spikes
Mash Daal,Lentils,147,1 cup cooked,Medium,32,Low,Medium,High,weight_loss,kidney_disease,Rich and creamy texture often cooked with ghee increasing fat
Roti (Whole Wheat),Grains,120,1 medium,High,62,Low,Low,Medium,cholesterol;weight_loss_moderate,diabetes_severe,Better than white bread but portion control needed for diabetics
Naan (Plain),Grains,262,1 piece,High,71,Medium,Medium,Medium,none,diabetes;weight_loss;BP,Made with refined flour and often brushed with ghee or butter
Chawal (White Rice),Grains,205,1 cup cooked,High,73,Low,Low,Low,none,diabetes;weight_loss,High glycemic index causes rapid blood sugar rise
Brown Rice,Grains,216,1 cup cooked,Medium,50,Low,Low,Medium,diabetes;weight_loss;cholesterol,none,Fiber-rich alternative to white rice with slower sugar release
Paratha (Plain),Grains,300,1 piece,High,65,Low,High,Medium,none,diabetes;weight_loss;cholesterol;BP,Pan-fried in oil or ghee significantly increasing calorie and fat content
Daliya (Broken Wheat),Grains,158,1 cup cooked,Medium,45,Low,Low,Medium,diabetes;weight_loss;cholesterol,none,Excellent breakfast option with slow digesting carbs
Palak (Spinach),Vegetables,23,1 cup cooked,Low,15,Low,Low,Medium,diabetes;BP;weight_loss;anemia,none,Rich in iron and low in calories good for almost all conditions
Karela (Bitter Gourd),Vegetables,17,1 cup cooked,Low,20,Low,Low,Low,diabetes,none,Traditionally used in Pakistan to help lower blood sugar levels
Bhindi (Okra),Vegetables,33,1 cup cooked,Low,20,Low,Low,Medium,diabetes;weight_loss;cholesterol,none,Contains soluble fiber that helps stabilize blood sugar
Baingan (Eggplant),Vegetables,35,1 cup cooked,Low,15,Low,Low,Low,diabetes;weight_loss;cholesterol,none,Absorbs oil easily during frying so cooking method matters
Gobi (Cauliflower),Vegetables,25,1 cup cooked,Low,15,Low,Low,Low,diabetes;weight_loss;kidney_mild,none,Low carb vegetable suitable for most restricted diets
Matar (Green Peas),Vegetables,62,1 cup cooked,Medium,22,Low,Low,Medium,diabetes_moderate;weight_loss,none,Higher in carbs than leafy vegetables but still nutritious
Tori (Ridge Gourd),Vegetables,20,1 cup cooked,Low,15,Low,Low,Low,diabetes;weight_loss;BP,none,Very low calorie vegetable common in Pakistani home cooking
Aloo (Potato),Vegetables,130,1 medium boiled,High,78,Low,Low,Low,none,diabetes;weight_loss,High glycemic index best eaten in small portions with skin on
Shalgam (Turnip),Vegetables,28,1 cup cooked,Low,30,Low,Low,Low,diabetes;weight_loss,none,Winter vegetable with mild flavor and good fiber content
Methi (Fenugreek Leaves),Vegetables,13,1 cup cooked,Low,15,Low,Low,Medium,diabetes;cholesterol,none,Studied for blood sugar lowering effects in South Asian diets
Kaddu (Pumpkin),Vegetables,49,1 cup cooked,Medium,75,Low,Low,Low,weight_loss,diabetes_severe,High glycemic index despite low calories so portion size matters
Seb (Apple),Fruits,95,1 medium,Medium,36,Low,Low,Low,diabetes_moderate;weight_loss;cholesterol,none,Skin contains fiber that slows sugar absorption best eaten whole
Amrood (Guava),Fruits,68,1 medium,Low,24,Low,Low,Low,diabetes;weight_loss;BP,none,Low glycemic index fruit widely available and affordable in Pakistan
Santra (Orange),Fruits,62,1 medium,Medium,40,Low,Low,Low,diabetes_moderate;weight_loss,none,Good vitamin C source but moderate sugar content
Kela (Banana),Fruits,105,1 medium,High,51,Low,Low,Low,weight_loss_moderate,diabetes_severe,Higher sugar content ripe bananas raise blood sugar faster
Aam (Mango),Fruits,150,1 cup sliced,High,51,Low,Low,Low,none,diabetes;weight_loss,Seasonal favorite but high natural sugar content requires portion control
Anaar (Pomegranate),Fruits,144,1 cup seeds,Medium,53,Low,Low,Low,diabetes_moderate;cholesterol,none,Antioxidant rich but moderate sugar so limit portion for diabetics
Papita (Papaya),Fruits,62,1 cup cubed,Low,30,Low,Low,Low,diabetes;weight_loss;digestion,none,Low calorie fruit that also aids digestion
Tarbooz (Watermelon),Fruits,46,1 cup cubed,Medium,72,Low,Low,Low,weight_loss,diabetes_severe,High glycemic index but low calorie density due to water content
Angoor (Grapes),Fruits,104,1 cup,High,59,Low,Low,Low,none,diabetes;weight_loss,Small portions recommended due to concentrated natural sugars
